time tau_xy tau_yz tau_xz sigma_xy sigma_yz sigma_xz
870.0000 -0.0454 0.0135 -0.0062 2.6783 2.6392 2.7360
880.0000 -0.1402 0.0003 -0.1984 2.9045 2.7095 2.6914
890.0000 0.0401 -0.0216 -0.0441 2.6664 2.5243 2.5957
900.0000 0.0165 0.0471 -0.1616 2.8672 2.5857 2.6940
910.0000 0.0078 0.0646 0.0407 2.5859 2.6992 2.5165
920.0000 0.0293 0.0764 -0.0988 2.6573 2.6297 2.8136
930.0000 -0.1766 -0.0006 -0.0209 2.7781 2.7311 2.7909
940.0000 0.0598 0.0438 -0.1452 2.7859 2.5793 2.5687
950.0000 -0.0073 -0.0289 0.0173 2.6954 2.6042 2.5725
960.0000 -0.0384 -0.1013 -0.2404 2.5166 2.6893 2.6334
970.0000 -0.0954 -0.1001 -0.0142 2.7104 2.7626 2.6901
980.0000 -0.1452 -0.1326 0.0477 2.5801 2.6789 2.6823
990.0000 -0.1874 -0.1274 0.0616 2.5398 2.6374 2.7121
1000.0000 -0.0958 0.0785 -0.0031 2.5754 2.5351 2.6609
1010.0000 0.0486 -0.0064 0.1168 2.6455 2.6669 2.7566
1020.0000 -0.0211 -0.0155 -0.0509 2.4600 2.6488 2.7335
1030.0000 -0.2356 0.1273 -0.1075 2.7555 2.6561 2.8041
1040.0000 -0.1548 0.0004 -0.0157 2.6256 2.5659 2.7502
1050.0000 -0.1912 0.0403 0.0528 2.6908 2.7300 2.6743
1060.0000 -0.1835 0.0742 0.2111 2.6378 2.6579 2.7355
1070.0000 -0.1229 0.0934 0.0376 2.7060 2.7815 2.7092
1080.0000 -0.0856 0.2021 -0.0013 2.6623 2.8059 2.7476
1090.0000 -0.1392 0.0565 0.0300 2.6457 2.6800 2.7970
1100.0000 -0.2195 0.1363 -0.1220 2.7146 2.6051 2.9491
1110.0000 -0.2280 0.1613 0.1427 2.7470 2.6976 2.8403
1120.0000 -0.2362 0.0734 0.0901 2.6525 2.6131 2.7057
1130.0000 -0.1307 0.0970 0.1430 2.6724 2.6646 2.7229
1140.0000 -0.1002 0.0143 0.1728 2.7265 2.6543 2.5768
1150.0000 -0.2296 0.1108 0.1929 2.8530 2.8535 2.6143
1160.0000 -0.1081 0.2028 0.1085 2.6613 2.8265 2.7154
1170.0000 -0.0835 -0.0266 0.1064 2.6239 2.6814 2.6274
1180.0000 -0.0970 0.1130 0.0203 2.7494 2.6653 2.7270
1190.0000 -0.2662 0.0755 -0.0040 2.6439 2.7253 2.6810
1200.0000 -0.2789 0.1687 0.1040 2.7065 2.9238 2.6222
1210.0000 -0.1143 0.1789 0.2044 2.8847 2.9433 2.6396
1220.0000 -0.1117 0.0006 0.2309 2.8617 2.8174 2.7432
1230.0000 -0.2167 -0.1477 0.0704 2.9171 2.7906 2.6987
1240.0000 -0.1147 -0.0332 0.1766 2.9844 2.8609 2.8071
1250.0000 -0.1719 -0.1005 0.2079 3.0011 2.9772 2.6181
1260.0000 -0.3779 -0.0400 0.2567 2.7073 2.7383 2.7334
1270.0000 -0.0661 -0.0869 0.0921 2.8036 2.6106 2.7137
1280.0000 -0.2279 -0.1087 0.1032 2.8330 2.8005 2.5597
1290.0000 -0.0860 -0.2261 -0.1057 2.7120 2.9023 2.7784
1300.0000 -0.1605 -0.2195 0.0819 2.7455 2.6955 2.7238
1310.0000 -0.1693 -0.3657 -0.0928 2.7434 2.7780 2.6508
1320.0000 -0.0499 -0.4120 0.0240 2.5366 2.7483 2.5796
1330.0000 -0.1683 -0.2936 0.0644 2.6417 2.7563 2.6429
1340.0000 -0.0951 0.0107 -0.1284 2.8310 2.8196 2.8989
1350.0000 -0.1966 -0.2114 0.0634 2.8224 2.5589 2.7516
1360.0000 -0.0405 -0.0971 0.0014 2.8012 2.7483 2.8038
1370.0000 -0.0263 -0.1496 0.0171 2.6566 2.6053 2.6748
1380.0000 0.0009 -0.1212 0.0539 2.8940 2.8352 2.5915
1390.0000 -0.1111 -0.0749 0.0616 2.9132 2.7856 2.7552
1400.0000 -0.1731 0.0431 -0.1563 2.7766 2.8904 2.7962
1410.0000 -0.1604 0.1470 0.0744 2.7409 2.7322 2.7043
1420.0000 0.0633 -0.1355 -0.1112 2.8073 2.6600 2.8274
1430.0000 -0.1798 -0.0995 -0.0545 2.6684 2.8246 2.7066
1440.0000 -0.0799 -0.0755 0.0233 2.8197 2.8459 2.7237
1450.0000 -0.0482 -0.0148 0.1035 2.5948 2.7133 2.8334
1460.0000 0.0244 -0.0658 0.0203 2.7562 2.6967 2.6856
1470.0000 0.0017 -0.0971 -0.0541 2.7360 2.8642 2.6543
1480.0000 -0.0377 -0.1042 -0.0224 2.5961 2.8052 2.6710
1490.0000 -0.0165 -0.0020 0.0666 2.5622 2.8477 2.6151
1500.0000 -0.1050 -0.0715 0.0551 2.6061 2.7654 2.5713
1510.0000 -0.1472 -0.0194 0.0658 2.7507 2.9640 2.6474
1520.0000 -0.0734 -0.1740 0.0702 2.6838 2.9557 2.8987
1530.0000 0.0018 -0.1359 0.0488 2.7540 2.7963 2.7266
1540.0000 -0.0641 0.0511 0.0605 2.6740 2.7377 2.8170
1550.0000 -0.1108 -0.0407 0.0261 2.6704 2.7546 2.7348
1560.0000 -0.0275 -0.1143 0.1200 2.6926 3.0042 2.8259
1570.0000 0.0138 0.0149 0.1244 2.7246 2.9207 2.7785
1580.0000 0.0604 -0.1518 0.0977 2.6963 2.9319 2.8314
1590.0000 0.0890 -0.0501 0.1462 2.8694 2.9083 2.7671
1600.0000 0.0015 0.0502 0.0770 2.7609 2.8592 2.7210
1610.0000 -0.0772 0.0699 0.3187 2.6000 2.8562 2.7836
1620.0000 0.0956 0.0111 0.0813 2.6443 2.8605 2.6229
1630.0000 0.1813 -0.0327 0.1763 2.5004 2.9046 2.5367
1640.0000 0.0120 0.0140 0.1409 2.6681 2.7153 2.6726
1650.0000 0.0615 -0.0414 0.0519 2.7348 2.6388 2.7463
1660.0000 -0.0068 -0.2094 0.1242 2.7565 2.5245 2.7387
1670.0000 0.1527 0.0145 0.0839 2.6603 2.5811 2.8348
1680.0000 0.0650 -0.2379 0.0353 2.6925 2.7300 2.5958
1690.0000 0.1468 -0.1605 0.0657 2.8529 2.7173 2.8352
1700.0000 -0.0278 -0.0578 0.0474 2.6694 2.7842 2.8210
1710.0000 -0.0175 -0.2082 0.1595 2.8058 2.7762 2.9593
1720.0000 0.1513 0.0521 0.2471 2.7172 2.5722 2.7530
1730.0000 0.1795 -0.2425 0.1799 2.7510 2.9541 2.7924
1740.0000 -0.0835 0.0677 0.1783 2.9224 2.6319 2.9140
1750.0000 0.0884 -0.0450 0.2798 2.8204 2.7333 2.8339
1760.0000 -0.0723 -0.0736 0.0459 2.7962 2.6762 2.7256
1770.0000 -0.1839 -0.0439 0.2071 2.6237 2.7442 2.8875
1780.0000 -0.0808 -0.0596 0.1615 2.6630 2.8442 2.7679
1790.0000 0.0925 -0.0689 0.1096 2.8843 2.8708 2.7697
1800.0000 -0.2070 0.0778 0.1346 2.6907 2.7922 2.5867
1810.0000 -0.0233 -0.0648 0.2237 2.6787 2.7818 2.7373
1820.0000 0.0173 -0.0485 0.1843 2.7252 2.7093 2.6576
1830.0000 -0.1381 0.0794 0.3821 2.7206 2.5596 2.5705
1840.0000 -0.0711 -0.0755 0.3084 2.7682 2.7343 2.7049
1850.0000 -0.1468 -0.0680 0.1855 2.7609 2.6657 2.7360
1860.0000 -0.1576 -0.1199 0.1821 2.6565 2.8372 2.6832
1870.0000 -0.1058 -0.3256 -0.1298 2.4125 2.7982 2.6839
1880.0000 -0.1813 -0.1462 -0.0192 2.5750 2.8010 2.6187
1890.0000 -0.2011 -0.0913 0.1693 2.6526 2.6498 2.7618
1900.0000 -0.0647 0.0352 0.1101 2.6175 2.7135 2.6354
1910.0000 -0.1466 -0.1642 0.0781 2.6477 2.8271 2.6960
1920.0000 0.0783 -0.1746 -0.0328 2.6139 2.8231 2.7944
1930.0000 -0.0825 -0.0191 -0.0339 2.7860 2.8079 2.8008
1940.0000 -0.2088 -0.0431 -0.0318 2.5489 2.7565 2.7092
1950.0000 -0.3256 -0.0651 -0.0723 2.6971 2.7292 2.8137
1960.0000 -0.1450 -0.1364 -0.0994 2.6450 2.6953 2.9166
1970.0000 -0.3435 -0.1105 -0.1098 2.8630 2.6051 2.6219
1980.0000 -0.2896 0.0917 -0.0671 2.6927 2.8340 2.6362
1990.0000 -0.0566 0.0778 -0.1974 2.6991 2.7629 2.5021
2000.0000 -0.0764 0.0074 -0.2759 2.5384 2.6498 2.4606
2010.0000 -0.1749 0.0047 -0.1733 2.8349 2.5536 2.6225
