time tau_xy tau_yz tau_xz sigma_xy sigma_yz sigma_xz
34660.0000 -0.1031 -0.1279 -0.0603 2.8149 2.7347 2.7377
34670.0000 -0.0827 -0.1968 -0.1373 2.7149 2.7198 2.7107
34680.0000 -0.0717 -0.0973 -0.0197 2.7575 2.6694 2.5189
34690.0000 -0.0118 -0.0655 -0.0557 2.6636 2.5765 2.6709
34700.0000 0.0796 -0.1144 -0.0221 2.5623 2.5582 2.6892
34710.0000 0.0234 -0.0038 0.0593 2.7037 2.8134 2.7678
34720.0000 -0.1959 0.1799 -0.0112 2.6094 2.5810 2.7095
34730.0000 -0.1565 -0.0016 -0.0376 2.7453 2.5648 2.7420
34740.0000 -0.1781 0.0104 0.0958 2.5353 2.5925 2.5475
34750.0000 -0.2325 -0.2250 0.0115 2.6562 2.6244 2.6391
34760.0000 -0.0866 -0.0825 -0.0031 2.5132 2.7345 2.5763
34770.0000 0.0402 -0.0980 0.1023 2.7018 2.6851 2.7886
34780.0000 -0.0290 -0.1465 0.1612 2.7926 2.7188 2.7762
34790.0000 0.0266 0.0429 0.1662 2.6593 2.6511 2.6673
34800.0000 0.0631 -0.0155 0.2405 2.6306 2.6469 2.7359
34810.0000 -0.1120 0.0588 0.2463 2.6948 2.6162 2.6488
34820.0000 -0.0432 -0.0769 0.0867 2.5888 2.5209 2.7237
34830.0000 -0.1088 -0.2148 -0.0233 2.5549 2.6910 2.8498
34840.0000 0.0945 -0.1566 0.0240 2.6208 2.6355 2.8121
34850.0000 -0.0473 -0.0063 0.0806 2.5787 2.5033 2.7634
34860.0000 -0.0688 0.0444 0.0872 2.5667 2.6632 2.7415
34870.0000 0.0277 -0.0074 0.2083 2.6048 2.6238 2.8631
34880.0000 -0.0164 -0.0237 0.1561 2.6541 2.6391 2.6093
34890.0000 -0.1900 -0.0240 0.1722 2.7947 2.6890 2.9128
34900.0000 -0.0480 0.1040 0.1484 2.5592 2.7952 2.8255
34910.0000 -0.0345 0.0101 0.1272 2.5649 2.5420 2.8225
34920.0000 -0.1214 -0.0331 0.2222 2.3766 2.7297 2.6411
34930.0000 -0.1367 -0.0109 0.1744 2.4673 2.4803 2.5235
34940.0000 -0.1755 0.1625 -0.0425 2.5839 2.5810 2.5815
34950.0000 -0.0932 0.1945 0.0287 2.5322 2.5674 2.5307
34960.0000 -0.2405 0.1413 0.0732 2.5684 2.6086 2.6651
34970.0000 -0.2041 0.1125 -0.0620 2.7059 2.6340 2.7520
34980.0000 -0.0654 0.1275 -0.0890 2.7279 2.6090 2.5687
34990.0000 -0.1004 -0.0755 -0.2905 2.6932 2.7312 2.7279
35000.0000 -0.0581 0.0605 -0.1538 2.7676 2.5535 2.7531
35010.0000 -0.1415 -0.1479 -0.1943 2.7175 2.7360 2.6447
35020.0000 -0.1981 -0.0765 -0.1595 2.7072 2.7465 2.4785
35030.0000 -0.1959 -0.0737 -0.0788 2.8530 2.6875 2.7022
35040.0000 -0.2180 -0.0626 -0.0322 2.7363 2.6889 2.5226
35050.0000 -0.0987 0.1778 -0.1208 2.8330 2.6835 2.7664
35060.0000 -0.0578 -0.0857 -0.1443 2.5717 2.5618 2.6959
35070.0000 -0.0453 0.0940 -0.1577 2.4677 2.6621 2.8014
35080.0000 -0.1553 0.1269 -0.1116 2.7180 2.7345 2.8402
35090.0000 0.0205 0.1378 -0.0833 2.7605 2.6630 2.7378
35100.0000 -0.0961 0.1131 -0.1531 2.9450 2.6928 2.8289
35110.0000 -0.0910 0.0825 -0.0571 2.6779 2.6563 2.6510
35120.0000 -0.2093 0.1093 -0.2756 2.5939 2.5904 2.5665
35130.0000 0.1090 0.1291 -0.1858 2.6998 2.5446 2.7297
35140.0000 0.1194 0.0269 -0.1948 2.6187 2.6219 2.8273
35150.0000 0.2632 0.2425 -0.2688 2.5534 2.6849 2.7661
35160.0000 0.0671 0.2888 -0.2827 2.7591 2.7018 2.7607
35170.0000 -0.0172 0.1272 -0.0929 2.7024 2.5826 2.6450
35180.0000 -0.1260 0.1373 -0.3966 2.5719 2.7155 2.6981
35190.0000 0.1948 0.1293 -0.2194 2.9575 2.7792 2.8017
35200.0000 0.0263 0.1375 -0.0466 2.7739 2.7914 2.7073
35210.0000 0.0332 -0.1709 -0.1119 2.8204 2.8566 2.8314
35220.0000 0.0704 -0.2824 -0.0911 2.6641 2.7478 2.8011
35230.0000 0.0443 -0.1291 -0.0875 2.6564 2.9294 2.7861
35240.0000 0.0576 -0.1749 -0.1747 2.7239 2.7475 2.7950
35250.0000 0.1117 -0.1727 -0.1267 2.9163 2.8396 2.8693
35260.0000 -0.0202 -0.0848 -0.1494 2.6494 2.7872 2.7502
35270.0000 0.0241 -0.0166 -0.1197 2.7390 2.7191 2.8459
35280.0000 -0.0090 -0.0601 -0.2197 2.6762 2.8912 2.8217
35290.0000 -0.0308 0.0322 -0.2131 2.7533 2.8021 2.7213
35300.0000 0.0187 -0.0318 -0.0538 2.6354 2.8572 2.8063
35310.0000 -0.0184 -0.0888 -0.0596 2.6142 2.7980 2.7804
35320.0000 0.0584 -0.0513 -0.3508 2.6869 2.7574 2.9948
35330.0000 0.1515 0.0136 0.0434 2.8561 2.6290 2.9608
35340.0000 0.1507 -0.0250 0.0080 2.8717 2.7493 2.8097
35350.0000 0.1046 -0.2233 -0.2038 2.6697 2.6775 2.6834
35360.0000 0.0644 -0.0806 -0.0740 2.7843 2.9664 2.6151
35370.0000 0.1429 -0.0193 -0.0268 2.9592 2.8042 2.6481
35380.0000 0.1031 -0.0990 -0.0853 2.7450 2.8970 2.8158
35390.0000 -0.0094 -0.0771 -0.0535 2.7998 2.7486 2.8127
35400.0000 0.1864 -0.1314 -0.0117 2.6338 2.7941 2.6902
35410.0000 0.0522 0.0513 0.1989 2.6232 2.7763 2.7232
35420.0000 0.0442 0.0780 -0.0012 2.8129 2.7284 2.7478
35430.0000 -0.0087 0.0020 0.2634 2.8979 2.8247 2.7265
35440.0000 0.0946 -0.0761 0.1846 2.9035 2.6581 2.7026
35450.0000 0.1408 -0.0627 0.2006 2.8303 2.7249 2.7678
35460.0000 0.1889 0.0808 0.2194 2.8391 2.8112 2.6572
35470.0000 0.1234 -0.0895 0.1350 2.8650 2.8262 2.7829
35480.0000 0.0555 0.0491 0.0184 2.7136 2.8733 2.7832
35490.0000 0.0733 -0.0232 0.0356 2.7954 2.8324 2.8259
35500.0000 0.1126 -0.0189 0.1338 2.7513 2.7498 2.8368
35510.0000 0.1875 0.1061 0.0474 2.6794 2.8009 2.7203
35520.0000 0.2043 0.0016 0.1662 2.6073 2.7560 2.6160
35530.0000 0.1115 -0.0190 0.0871 2.7251 2.6446 2.6950
35540.0000 0.0959 -0.0322 0.2606 2.7738 2.7656 2.5267
35550.0000 -0.0519 -0.0205 0.0824 2.7575 2.7413 2.6851
35560.0000 -0.0263 -0.0634 -0.0176 2.5957 2.7235 2.6482
35570.0000 0.0441 0.0531 -0.0283 2.6790 2.7054 2.7188
35580.0000 0.1469 -0.0759 0.1365 2.5880 2.8660 2.7898
35590.0000 0.1817 -0.0258 -0.0040 2.7638 2.6824 2.8292
35600.0000 0.0004 -0.0328 -0.1186 2.4866 2.7156 2.8050
35610.0000 0.0225 -0.0936 -0.0115 2.5539 2.7055 2.8819
35620.0000 -0.0932 -0.1283 0.0203 2.5247 2.6827 2.8130
35630.0000 -0.0515 0.1206 -0.0782 2.6503 2.6934 2.9934
35640.0000 -0.0199 0.1622 0.0200 2.7432 2.5823 2.7538
35650.0000 -0.1338 0.0360 0.1455 2.7371 2.8578 2.6850
35660.0000 -0.0853 0.1727 -0.0051 2.5116 3.0406 2.6300
35670.0000 -0.0375 0.2014 -0.0499 2.8056 2.8163 2.8642
35680.0000 0.1463 0.1978 -0.0318 2.5558 2.8817 2.6495
35690.0000 0.0482 -0.0378 0.0445 2.6150 2.8375 2.7726
35700.0000 0.0365 0.1736 0.1348 2.6490 2.6045 2.6501
35710.0000 -0.0081 -0.0129 -0.1231 2.4456 2.7053 2.8679
35720.0000 0.0320 -0.1104 -0.0251 2.3741 2.7482 2.5851
35730.0000 0.0225 -0.1238 -0.0302 2.6046 2.7883 2.8496
35740.0000 -0.0256 -0.1787 0.1723 2.8411 2.7993 2.8457
35750.0000 -0.1721 -0.2278 0.0406 2.4993 2.8591 2.6858
35760.0000 -0.0591 0.0424 -0.0341 2.6085 2.6466 2.6674
35770.0000 -0.1886 -0.0839 -0.1650 2.7475 2.7940 2.6591
35780.0000 -0.0585 -0.0983 -0.2481 2.7375 2.7382 2.6701
35790.0000 -0.0265 0.0542 -0.1342 2.7466 2.9524 2.6755
35800.0000 -0.1862 -0.0068 -0.1119 2.9122 2.9480 2.7090
35810.0000 -0.1489 0.0266 -0.1992 2.8502 2.6509 2.5678
35820.0000 0.2076 0.0931 -0.0754 2.8764 2.8438 2.7827
35830.0000 -0.0708 0.0619 0.0555 2.7256 2.7564 2.7545
35840.0000 0.0657 0.1581 -0.1422 2.5038 2.8378 2.6974
35850.0000 -0.0651 0.0301 -0.0394 2.8703 2.7301 2.4379
35860.0000 0.0668 0.0037 0.2138 2.6901 2.7557 2.5978
35870.0000 -0.0094 -0.0907 0.1156 2.8960 2.6315 2.6232
35880.0000 -0.2112 0.0490 0.1447 2.8273 2.7233 2.6788
35890.0000 -0.2568 -0.0454 -0.0163 2.7386 2.6570 2.4459
35900.0000 -0.0790 0.1157 0.1737 2.6773 2.5534 2.6704
35910.0000 -0.3143 0.2083 0.0902 2.6768 2.7407 2.6252
35920.0000 -0.0574 0.1116 0.0513 2.6325 2.7710 2.6007
35930.0000 0.0010 0.1900 0.1386 2.5831 2.7987 2.8098
35940.0000 0.0192 0.0328 -0.0120 2.5757 2.5931 2.9875
35950.0000 0.0020 0.0543 0.1060 2.6572 2.6347 2.9685
35960.0000 -0.0694 -0.0425 0.0289 2.7221 2.7514 3.1418
35970.0000 -0.1338 -0.0792 0.0974 2.7914 2.8279 2.9242
35980.0000 -0.0725 0.1406 0.0589 2.6302 2.7164 2.8518
35990.0000 -0.2666 0.1375 -0.0122 2.7943 2.7950 2.8571
36000.0000 -0.2513 0.0674 -0.0571 2.6159 2.9242 2.8400
36010.0000 -0.1254 -0.0268 -0.0831 2.6351 2.6430 2.8814
36020.0000 -0.2765 0.0501 0.0249 2.8880 2.7846 2.8031
36030.0000 -0.1648 0.0344 0.1404 2.7621 2.7283 3.0149
36040.0000 -0.0997 0.0806 0.0682 2.5947 2.6980 2.9332
36050.0000 -0.0754 0.1206 0.0843 2.6461 2.7017 2.7058
36060.0000 -0.1411 0.0299 0.0564 2.5704 2.6694 2.9106
36070.0000 0.0183 -0.0604 0.0717 2.7068 2.7604 2.7477
36080.0000 -0.0706 -0.0749 0.0137 2.7313 2.7029 2.6421
36090.0000 0.0540 -0.0942 -0.0555 2.6848 2.7340 2.6512
36100.0000 -0.0905 -0.0561 0.0883 2.6030 2.6376 2.5996
36110.0000 -0.0832 0.0297 -0.0817 2.6350 2.7374 2.7390
36120.0000 -0.1079 0.1380 -0.0989 2.6244 2.5699 2.7387
36130.0000 -0.0088 -0.0170 -0.0148 2.6602 2.8949 2.6837
36140.0000 0.1114 0.0706 -0.0998 2.7717 2.5884 2.5483
36150.0000 -0.1118 -0.0216 -0.0586 2.7662 2.7481 2.8150
36160.0000 -0.0561 -0.0855 0.0759 2.6543 2.8211 2.9539
36170.0000 0.1556 0.0922 0.1024 2.8509 2.7511 2.8216
36180.0000 0.0477 -0.0557 0.1261 2.6842 2.6903 2.6787
36190.0000 -0.0884 -0.1408 0.2703 2.6978 2.6437 2.7926
36200.0000 -0.0553 -0.0532 0.1931 2.6493 2.6180 2.6325
36210.0000 -0.1111 -0.0760 -0.0406 2.6029 2.7898 2.8289
36220.0000 -0.1451 -0.1210 -0.0775 2.8544 2.8741 2.8061
36230.0000 0.1047 -0.1839 -0.1809 2.7129 2.7220 2.7294
36240.0000 -0.0869 -0.1178 -0.1853 2.6873 2.6925 2.8006
36250.0000 -0.0213 -0.1820 -0.0861 2.7995 2.8409 2.8145
36260.0000 0.0575 -0.0654 -0.0489 2.7141 2.7109 2.6450
36270.0000 0.0306 -0.0915 0.0657 2.8677 2.6493 2.6147
36280.0000 0.0502 -0.0880 -0.1908 2.8173 2.7273 2.5669
36290.0000 0.0337 -0.1418 -0.0593 2.8291 2.7153 2.6387
36300.0000 0.1688 -0.0765 -0.1118 2.6614 2.6563 2.9097
36310.0000 0.1921 -0.1680 -0.0640 2.6678 2.8090 2.7253
36320.0000 0.0420 -0.1271 -0.1269 2.6789 2.7841 2.5951
36330.0000 0.1312 0.0353 -0.3034 2.6797 2.7680 2.6855
36340.0000 0.0494 -0.0708 0.0601 2.7994 2.8912 2.7375
36350.0000 -0.0315 0.0586 -0.0196 2.8691 2.7248 2.6823
36360.0000 0.0543 -0.0824 0.0260 2.6816 2.9042 2.6323
36370.0000 0.0508 -0.0432 -0.0612 2.6568 2.7920 2.7888
36380.0000 0.0592 -0.2395 -0.1247 2.8013 2.6824 2.6919
36390.0000 0.3052 -0.0430 -0.0837 2.6816 2.9050 2.6325
36400.0000 0.1363 -0.1115 0.0597 2.6271 2.7698 2.5873
36410.0000 0.0233 -0.1560 -0.1155 2.6802 2.9101 2.7076
36420.0000 0.1018 0.0849 0.0780 2.6213 2.9161 2.7950
36430.0000 0.0660 -0.1911 0.0580 2.6408 2.8393 2.7283
36440.0000 0.0411 -0.0536 -0.1450 2.6723 2.6765 2.7886
36450.0000 0.1880 0.2119 -0.2228 2.6073 2.8058 2.7722
36460.0000 0.1544 0.0579 -0.2908 2.7385 2.7167 2.6882
36470.0000 0.2548 0.1985 -0.1598 2.8218 2.5508 2.8518
36480.0000 0.1958 0.0940 -0.0133 2.8864 2.7562 2.6749
36490.0000 0.1781 0.1098 -0.0019 2.8347 2.7609 2.7186
36500.0000 0.2312 0.0791 0.0531 2.5860 2.6831 2.6964
36510.0000 0.1040 0.1450 -0.1335 2.5364 2.7754 2.7927
36520.0000 -0.0494 0.1398 -0.0754 2.7071 2.7396 2.6396
36530.0000 0.0712 0.1468 -0.2182 2.7604 2.8696 2.6440
36540.0000 0.0592 -0.1597 -0.0974 2.5436 3.0186 2.8494
36550.0000 0.0020 -0.0712 -0.1979 2.7699 2.9182 2.7811
36560.0000 -0.0419 -0.1102 -0.0704 2.7364 2.9480 2.6276
36570.0000 -0.1056 -0.1061 -0.1186 2.8055 2.7611 2.7159
36580.0000 -0.1091 -0.0707 -0.0556 2.8057 2.8176 2.8474
36590.0000 -0.1720 0.0186 0.0090 2.8992 2.7331 2.7135
36600.0000 -0.1170 -0.0685 -0.2415 2.9919 2.8990 2.6533
36610.0000 -0.0692 -0.1124 -0.2254 2.8403 2.6794 2.7936
36620.0000 -0.0482 -0.1555 -0.0938 2.6257 2.6809 2.8658
36630.0000 -0.0506 -0.0974 -0.1643 2.7455 2.8720 2.7901
36640.0000 0.0448 -0.1697 -0.0250 2.5866 2.6607 2.6948
36650.0000 0.0314 -0.2008 -0.0084 2.8402 2.6522 2.7133
36660.0000 -0.1498 -0.2951 -0.0937 2.7166 2.8301 2.8118
36670.0000 0.0489 -0.0805 -0.0609 2.7960 2.7164 2.9296
36680.0000 0.0224 -0.0928 -0.0346 2.8272 2.6030 2.8539
36690.0000 0.0674 -0.0755 -0.0578 2.6200 2.5489 2.8811
36700.0000 0.1147 0.0575 -0.1996 2.8175 2.6834 2.9072
36710.0000 -0.0469 -0.1580 -0.0106 2.6670 2.6217 2.7542
36720.0000 -0.0680 -0.0748 0.0039 2.6067 2.6369 2.7086
36730.0000 -0.0350 -0.1841 -0.0581 2.6303 2.6512 2.7314
36740.0000 0.1165 -0.2182 -0.0607 2.6261 2.5230 2.6772
36750.0000 0.0696 -0.2076 -0.0019 2.7667 2.6710 2.7438
36760.0000 -0.0464 -0.1407 -0.2222 2.6839 2.4009 2.6246
36770.0000 0.1950 -0.0762 0.1289 2.6386 2.7021 2.6966
36780.0000 0.0999 -0.1238 -0.1151 2.8168 2.6843 2.6866
36790.0000 0.2477 -0.0290 -0.2404 2.7590 2.6592 2.5826
36800.0000 0.1770 -0.0719 0.0466 2.8891 2.7208 2.7302
36810.0000 0.1257 -0.0872 -0.0427 2.7038 2.5837 2.7253
36820.0000 0.0866 -0.1261 0.0887 2.5944 2.5335 2.5744
36830.0000 0.0172 -0.0368 0.0718 2.7085 2.6076 2.6518
36840.0000 0.0361 -0.1264 0.0711 2.7111 2.6346 2.6262
36850.0000 -0.1315 -0.1920 -0.0908 2.9709 2.6788 2.6352
36860.0000 0.0532 0.0002 0.0763 2.7381 2.7029 2.7336
36870.0000 -0.0557 0.1198 0.1210 2.8072 2.6512 2.5963
36880.0000 0.0217 -0.1088 0.1041 2.6390 2.6408 2.7310
36890.0000 0.0978 0.1909 0.0801 2.7895 2.7070 2.7093
36900.0000 0.0244 0.0736 0.0476 2.7938 2.6243 2.7852
36910.0000 0.0936 -0.1279 0.0576 2.7094 2.4005 2.7640
36920.0000 0.1389 0.0957 0.0465 2.6692 2.3978 2.7364
36930.0000 0.1520 -0.0376 0.0440 2.6353 2.6188 2.8224
36940.0000 0.0407 -0.0653 -0.0246 2.5804 2.7127 2.7437
36950.0000 -0.1020 -0.1109 0.0876 2.5387 2.6812 2.7677
36960.0000 0.0257 -0.2307 0.0138 2.5101 2.8065 2.8060
36970.0000 -0.0461 0.0047 -0.0130 2.8240 2.7943 2.7367
36980.0000 0.0728 -0.0291 0.1264 2.8631 2.7200 2.7704
36990.0000 0.0446 -0.1461 0.2902 2.6591 2.8135 2.7577
37000.0000 0.0485 -0.0885 0.1200 2.6893 2.6047 2.7872
37010.0000 -0.0675 -0.0486 0.0916 2.6860 2.7400 2.6871
37020.0000 0.1149 -0.0287 -0.0931 2.5602 2.6453 2.6036
37030.0000 0.0457 0.1272 -0.0451 2.8123 2.7905 2.8432
37040.0000 -0.1218 0.0679 0.0787 2.9786 2.8209 2.7346
37050.0000 0.0500 0.0553 -0.0562 2.7361 2.7321 2.6997
37060.0000 0.0618 0.1841 -0.0996 2.7347 2.7396 2.5556
37070.0000 -0.1964 0.1427 -0.0213 2.5844 2.8711 2.7056
37080.0000 -0.0588 0.0602 -0.1487 2.6626 2.7032 2.8593
37090.0000 -0.1592 0.2412 -0.2077 2.6400 2.7968 2.7259
37100.0000 -0.0285 -0.0549 -0.2271 2.7892 2.7202 2.6224
37110.0000 -0.0604 0.2042 -0.2544 2.5909 2.6339 2.6875
37120.0000 -0.2047 -0.0049 0.0068 2.6914 2.7776 2.8212
37130.0000 -0.2924 -0.0903 -0.1673 2.8935 2.7359 2.8855
37140.0000 -0.3192 -0.0681 -0.0298 2.7935 2.7085 2.8292
37150.0000 -0.0199 0.0181 -0.0778 2.6553 2.7625 2.6643
37160.0000 -0.0286 0.0864 -0.0239 2.8494 2.6547 2.7064
37170.0000 -0.2391 0.0617 -0.1905 2.7388 2.7676 2.6684
37180.0000 -0.1444 0.0920 -0.0219 2.8399 2.8137 2.7051
37190.0000 -0.2413 0.0250 -0.0405 2.8588 2.5353 2.7657
37200.0000 -0.0519 0.1029 -0.1547 2.7170 2.7216 2.5916
37210.0000 -0.1195 0.1507 0.0344 2.8257 2.7773 2.5448
37220.0000 -0.2803 0.1431 0.0641 2.7460 2.9504 2.9568
37230.0000 -0.3320 0.0714 0.0929 2.7491 3.0363 2.6737
37240.0000 -0.1013 0.0743 -0.2068 2.8247 2.9757 2.6640
37250.0000 -0.2089 0.0054 0.0283 2.9131 2.6935 2.6894
37260.0000 -0.2641 0.0589 0.1041 2.8525 2.8807 2.8949
37270.0000 -0.2577 0.0561 -0.0085 2.7713 2.6240 2.7345
37280.0000 -0.1638 0.0506 0.1287 2.8802 2.7632 2.7074
37290.0000 -0.0012 0.0861 0.0509 2.8876 2.6345 2.7424
37300.0000 -0.1108 0.0778 -0.0110 2.8157 2.6975 2.7967
37310.0000 0.0174 0.0432 -0.0126 2.6869 2.7896 2.6841
37320.0000 -0.1315 -0.0370 -0.0448 2.5848 2.6083 2.7935
37330.0000 -0.2465 0.0475 -0.0178 2.6768 2.4752 2.7139
37340.0000 -0.2187 0.0162 0.0057 2.7254 2.5564 2.8656
37350.0000 -0.1380 0.0448 0.0954 2.7398 2.6537 2.8431
37360.0000 -0.1795 0.0769 0.0541 2.8124 2.4409 2.7993
37370.0000 -0.1787 0.0879 0.0530 2.8805 2.6913 2.8283
37380.0000 -0.2529 -0.1677 0.0643 2.6469 2.7019 2.7874
37390.0000 -0.1215 -0.0432 0.0265 2.7294 2.7964 2.7516
37400.0000 -0.1602 -0.0282 0.0758 2.6629 2.7369 2.8211
37410.0000 -0.0516 -0.0999 -0.1131 2.6623 2.7376 2.6583
37420.0000 -0.0582 -0.0135 -0.0895 2.5724 2.7865 2.6379
37430.0000 -0.0153 -0.0680 -0.0003 2.6752 2.6615 2.6579
37440.0000 -0.0906 -0.1537 -0.0152 2.9223 2.6156 2.7036
37450.0000 -0.0034 -0.0377 -0.2517 2.6461 2.5424 2.6135
37460.0000 0.0089 0.0285 -0.0206 2.6994 2.5433 2.5655
37470.0000 -0.1761 -0.0424 -0.2076 2.7468 2.5669 2.5318
37480.0000 -0.0834 0.2522 -0.1081 2.7091 2.6773 2.7223
37490.0000 -0.0223 0.0839 -0.0712 2.6845 2.7365 2.5902
37500.0000 0.0994 0.0344 -0.0689 2.5768 2.6273 2.7127
37510.0000 0.1909 -0.0200 -0.0672 2.7833 2.7938 2.8278
37520.0000 -0.0015 -0.0019 -0.1207 2.6791 2.6261 2.6887
37530.0000 -0.1173 -0.0570 0.1371 2.7714 2.8952 2.6314
37540.0000 0.0234 -0.0322 0.1575 2.7432 2.7132 2.5400
37550.0000 -0.0440 0.1335 -0.1149 2.6254 2.7273 2.7796
37560.0000 -0.1652 0.1092 0.0998 2.5713 2.6044 2.6351
37570.0000 -0.0860 -0.0439 0.1284 2.6997 2.7146 2.6652
37580.0000 -0.1446 -0.0017 0.0638 2.7995 2.8436 2.6661
37590.0000 -0.0521 -0.1291 -0.1321 2.6154 2.8810 2.6543
37600.0000 -0.2011 -0.0581 -0.0006 2.7957 2.8349 2.8044
37610.0000 -0.1795 -0.1579 0.1089 2.7450 2.7025 2.8289
37620.0000 -0.2407 -0.0960 -0.1323 2.6570 2.7634 2.8318
37630.0000 -0.1256 -0.0963 -0.1087 2.7393 2.6294 2.7533
37640.0000 0.0288 -0.0914 -0.2540 2.8058 2.7347 2.9185
37650.0000 -0.0918 0.0921 -0.1671 2.7274 2.5975 2.5076
37660.0000 -0.1811 0.2564 -0.1002 2.9368 2.6055 2.6319
37670.0000 -0.2228 -0.0145 -0.1273 2.6883 2.6334 2.6791
37680.0000 -0.0829 0.0197 -0.0444 2.7313 2.5111 2.7499
37690.0000 0.0019 0.2239 -0.0645 2.7334 2.6034 2.7318
37700.0000 -0.0717 0.0823 0.0307 2.6714 2.8686 2.8700
37710.0000 0.0157 -0.0519 0.0312 2.6578 2.5288 2.7109
37720.0000 0.0255 0.1437 -0.0983 2.7312 2.7373 2.4913
37730.0000 -0.2068 0.0549 0.1826 2.6413 2.7640 2.8086
37740.0000 -0.0426 -0.1570 0.1428 2.6430 2.7405 2.8279
37750.0000 0.0877 0.0101 0.2301 2.7469 2.7396 2.6612
37760.0000 0.0177 0.1114 0.0177 2.6990 2.8997 2.6714
37770.0000 -0.0525 -0.0083 -0.0937 2.7747 2.8266 2.6884
37780.0000 -0.1460 0.0913 -0.2022 2.6790 3.0218 2.7012
37790.0000 -0.0433 -0.1584 -0.1476 2.6688 2.8357 2.6264
37800.0000 -0.0558 -0.0070 -0.1462 2.7243 2.8621 2.7148
37810.0000 -0.1293 0.0328 0.1405 2.6250 2.8104 2.6534
37820.0000 -0.0215 0.1869 -0.0146 2.5646 2.7959 2.6471
37830.0000 -0.0294 0.1422 0.0148 2.7575 2.8562 2.6850
37840.0000 0.1770 0.0925 -0.2805 2.7827 2.8811 2.7310
37850.0000 0.1883 -0.0207 0.0219 2.6066 2.7268 2.5675
37860.0000 0.1701 0.2683 -0.0124 2.7445 2.7212 2.6428
37870.0000 0.0206 0.2165 0.0908 2.6292 2.6221 2.7096
37880.0000 0.0116 0.0229 0.0119 2.7325 2.9055 2.7937
37890.0000 0.1687 0.0516 0.0394 2.6330 2.6499 2.7231
37900.0000 0.1970 0.2778 -0.1798 2.6724 2.7173 2.6570
37910.0000 0.0444 0.2768 -0.1955 2.6195 2.7644 2.7665
37920.0000 0.0486 0.2838 -0.0677 2.7009 2.8414 2.7602
37930.0000 0.0799 0.1946 -0.1846 2.6546 2.8528 2.8904
37940.0000 0.0594 0.0932 -0.1201 2.7190 2.6331 2.8318
37950.0000 -0.0447 0.0439 -0.1138 2.5818 2.7267 2.6370
37960.0000 0.1467 0.2445 -0.1167 2.6809 2.6926 2.6929
37970.0000 0.1638 0.1252 0.0479 2.4398 2.6583 2.5665
37980.0000 -0.0038 0.1278 0.0970 2.6526 2.5736 2.6670
37990.0000 0.2314 0.1576 -0.2592 2.7506 2.7940 2.7147
38000.0000 0.1593 0.1573 0.0691 2.5954 2.6902 2.6384
38010.0000 0.1355 0.1455 0.0850 2.6610 2.8109 2.6110
38020.0000 0.1256 0.2795 -0.1995 2.7361 2.7303 2.6640
38030.0000 0.1308 0.2105 -0.1003 2.8178 2.8303 2.8031
38040.0000 0.1247 0.0297 -0.1318 2.7785 2.7889 2.7071
38050.0000 0.0111 0.0351 0.0204 2.8334 2.7285 2.6907
38060.0000 0.0738 0.1270 0.0192 2.6689 2.6380 2.7437
38070.0000 0.0128 0.0874 -0.0462 2.7089 2.4434 2.7502
38080.0000 -0.0696 0.1810 0.0037 2.7661 2.5106 2.8193
38090.0000 -0.0096 0.1725 0.0707 2.7428 2.5923 2.6114
38100.0000 -0.0226 0.3168 -0.0047 2.6699 2.6183 2.7359
38110.0000 -0.0021 0.2116 0.0112 2.7306 2.6985 2.7151
38120.0000 -0.0210 0.1564 -0.0695 2.5868 2.7194 2.7357
38130.0000 0.0003 0.1535 -0.1296 2.7907 2.6049 2.5922
38140.0000 -0.0703 0.1737 -0.1436 2.7906 2.8337 2.6662
38150.0000 -0.0530 0.1144 -0.1325 2.7529 2.5649 2.4886
38160.0000 -0.0104 0.1682 0.0462 2.7284 2.7017 2.5710
38170.0000 0.0435 0.2963 -0.0599 2.8182 2.6550 2.5595
38180.0000 0.0250 0.2946 0.0799 2.7747 2.6312 2.5155
38190.0000 0.0747 -0.0479 -0.0700 2.7811 2.6501 2.7037
38200.0000 -0.0186 0.0374 0.1525 2.7382 2.5518 2.5838
38210.0000 0.0479 -0.0535 -0.1162 2.7188 2.7836 2.7165
38220.0000 0.0111 0.0713 -0.1446 2.8062 2.7764 2.7360
38230.0000 -0.1562 0.0385 -0.0625 2.7657 2.7321 2.6723
38240.0000 -0.0352 0.0871 -0.1090 2.8798 2.6325 2.7524
38250.0000 -0.2053 0.0027 -0.0732 2.8295 2.6641 2.7736
38260.0000 -0.0948 0.0596 -0.0931 2.7830 2.5513 2.6251
38270.0000 -0.0774 -0.0992 -0.1446 2.7771 2.7402 2.6507
38280.0000 -0.0860 -0.0560 -0.0613 2.8480 2.9628 2.6311
38290.0000 -0.1116 0.1321 -0.0495 2.8753 2.8261 2.5900
38300.0000 -0.2092 -0.0625 -0.0206 2.8417 2.8380 2.5964
38310.0000 -0.1951 -0.0578 0.0168 2.6010 2.9260 2.5341
38320.0000 0.0387 -0.0426 0.0560 2.6852 2.7085 2.6270
38330.0000 -0.1105 0.1907 0.0627 2.6982 2.9070 2.5057
38340.0000 -0.0552 0.0184 0.1562 2.8267 2.7202 2.6430
38350.0000 0.0620 -0.0283 0.1413 2.6193 2.7512 2.6711
