time tau_xy tau_yz tau_xz sigma_xy sigma_yz sigma_xz
860.0000 0.0941 -0.3071 0.0371 2.6563 2.7441 2.6641
870.0000 0.0813 -0.2610 0.0101 2.7945 2.6096 2.6302
880.0000 0.0345 -0.1661 0.0613 2.5818 2.6395 2.6134
890.0000 0.0702 -0.1347 0.0600 2.7762 2.6033 2.6887
900.0000 0.0165 -0.2586 -0.1111 2.5796 2.5777 2.7000
910.0000 -0.1980 -0.2126 -0.0990 2.7793 2.5721 2.5503
920.0000 0.0086 -0.1794 0.0938 2.7747 2.7812 2.7438
930.0000 0.0165 -0.0930 0.0674 2.6358 2.7201 2.7281
940.0000 0.0136 -0.1075 0.0573 2.8975 2.8081 2.8936
950.0000 0.1513 -0.3444 0.0835 2.8698 2.8086 2.6457
960.0000 0.1602 -0.2211 -0.0590 2.7725 2.6742 2.7828
970.0000 -0.1336 -0.1901 0.0214 2.7394 2.7504 2.8122
980.0000 -0.0281 -0.2031 -0.0412 2.7917 2.7903 2.8568
990.0000 0.0323 -0.2241 0.0350 2.6611 2.7429 2.8485
1000.0000 0.0029 -0.2948 -0.0152 2.6765 2.7853 2.7255
1010.0000 0.0670 -0.3102 -0.0095 2.7916 2.8866 2.7713
1020.0000 0.0524 -0.3138 0.0448 2.8181 2.9217 2.6835
1030.0000 -0.1219 -0.3542 0.1700 2.6170 2.9012 2.7175
1040.0000 -0.1092 -0.1714 0.0251 2.7782 2.6866 2.8362
1050.0000 -0.0450 -0.1713 0.0024 2.6605 2.8040 2.9370
1060.0000 -0.0333 -0.3518 -0.0738 2.8042 2.6745 2.7491
1070.0000 -0.0809 -0.2091 -0.0063 2.5364 2.7568 2.6571
1080.0000 -0.1354 -0.0769 -0.0336 2.6421 2.6920 2.7806
1090.0000 -0.0031 -0.0095 0.1341 2.8535 2.9205 2.6991
1100.0000 -0.0591 -0.2417 0.0527 2.6254 2.8366 2.7902
1110.0000 0.0493 -0.1608 0.0122 2.7644 2.6999 2.8540
1120.0000 -0.1262 -0.2251 0.0494 2.6782 2.7079 2.8346
1130.0000 -0.1828 -0.1049 -0.1043 2.8629 2.9505 2.8016
1140.0000 -0.1301 -0.1907 -0.0440 2.7366 2.7034 2.8332
1150.0000 -0.1370 -0.1869 -0.0329 2.7117 2.8233 2.8886
1160.0000 -0.1173 -0.2827 0.2781 2.7715 2.8242 2.9196
1170.0000 -0.0394 -0.2348 0.0648 2.8261 2.7367 2.7610
1180.0000 -0.0124 -0.2564 0.0925 2.6909 2.7270 2.6587
1190.0000 0.0754 -0.2394 0.0496 2.8333 2.8218 2.7157
1200.0000 0.0130 -0.2381 0.1851 2.7384 2.9155 2.6916
1210.0000 0.0444 -0.1477 0.2452 2.6780 2.7869 2.6926
1220.0000 -0.1139 -0.1865 0.1746 2.5360 2.7777 2.5671
1230.0000 -0.0952 -0.0921 0.1302 2.6438 2.8967 2.5158
1240.0000 -0.0313 -0.1408 0.0665 2.5440 2.8189 2.5222
1250.0000 0.0741 -0.2488 0.1283 2.6592 2.7841 2.7278
1260.0000 -0.0099 -0.2046 0.1320 2.6174 2.8183 2.6356
1270.0000 -0.1096 -0.3131 -0.0653 2.6446 2.9094 2.6387
